Topics,RPC,NAP,UMass,CV,UCI,NPMI,NAC_UMass,NAC_CV,NAC_UCI,NAC_NPMI,Mean_MCC,Mean_F1,Mean_Accuracy
22,0.11782222222885855,0.6519112301118037,-3.5218258271360967,0.47477554008028255,-3.869842894619589,-0.07348574236559649,0.6473115848837244,0.8692281764157948,0.6456757805835501,0.45860160990965254,0.8463949169329839,0.8593977221036043,0.86
23,0.10834000265528973,0.6592380007427471,-3.519880525674109,0.47074406397827884,-4.0761169150771295,-0.083990025796721,0.647310688017652,0.8618242413098359,0.6800039663913464,0.5265598605735768,0.8479506373370344,0.8569457209457209,0.861111111111111
24,0.05037809003766715,0.6628923306844374,-3.467789330366191,0.48900802987460557,-3.9349448186481837,-0.07402590115199485,0.6378965517502022,0.895121441782597,0.6565898176457059,0.4633033964057465,0.8565148675551016,0.8675645465645466,0.8688888888888888
25,0.14306412180778696,0.6732309979316814,-3.2334813784673506,0.48028464209471433,-3.7760888791695897,-0.07149049875445987,0.5947463587902936,0.8789433399692689,0.6284561914503963,0.44443089623218296,0.8697171378060113,0.8815578582637406,0.881111111111111
26,0.050093117121779995,0.6765706727816111,-3.5062976515324302,0.47539801243495317,-4.147133180155673,-0.0855446851088551,0.6457940610949098,0.8702335306498901,0.6887934723780795,0.5283364310015883,0.8590380199102405,0.8691700891700892,0.8711111111111111
27,0.10313385239311468,0.683152654044247,-3.580366784508687,0.46561965478494544,-4.088634415255582,-0.08385195700705202,0.6578310678492061,0.8521690211152327,0.6808362382713476,0.5224551196416571,0.8528380796896246,0.8628157028157029,0.8655555555555555
28,0.1398689920561224,0.6933915279236873,-3.6937940809376792,0.466075456442257,-4.216006592749025,-0.08886868303823542,0.6791353145493929,0.8529486968503542,0.7032164408578605,0.5542129605990559,0.8328463997373422,0.8450582010582011,0.8477777777777777
29,0.10680426165495968,0.7011251668227928,-3.533109303122719,0.45775939971722013,-4.266827914197735,-0.0918879520740475,0.6507601714732266,0.8374126067172094,0.7113771621241003,0.5736189549721706,0.8554623083881994,0.8643899803899805,0.8677777777777778
30,0.101399131088036,0.7084725598016088,-3.487813288553429,0.45852251616141065,-4.213187123902568,-0.09124845163973305,0.6411385973561485,0.8388819806401793,0.7018886996893425,0.5675895683396252,0.8545952421806543,0.8623125023125023,0.8666666666666666
31,0.10223952230245101,0.7153049503111553,-3.7264826402252433,0.4639590865216411,-4.373288352977815,-0.09605190661459043,0.6837351729729149,0.8488504797597152,0.7286652937325255,0.5958679630939607,0.841826233228083,0.8444126059126059,0.8544444444444445
32,0.07194248933512379,0.7190683361129396,-3.7861239139775633,0.4574271527065915,-4.4594384912393945,-0.09755851706237878,0.6974813588227905,0.836907898379299,0.7427809861862509,0.6082236187938583,0.840480012250229,0.8458854293854294,0.8533333333333333
33,0.07786783356859028,0.7240103830605946,-3.6073840995468247,0.4629039332438191,-4.256997731817414,-0.09040129514392617,0.6646392904235098,0.847455435520121,0.7089198003262563,0.5645569477776242,0.8433834419642661,0.8510287762346586,0.8566666666666667
34,0.12518389934469307,0.7331071706933387,-3.8529971096871476,0.44813658071515566,-4.570839457203485,-0.10396004440241231,0.7128996328116086,0.8198897209034228,0.7608742521201122,0.6466490889684195,0.8328422186726083,0.8416953743424331,0.8466666666666667
35,0.06937367396740154,0.7376827686916666,-3.7255584259583023,0.4454659655043548,-4.557858141378661,-0.10470464234256886,0.6864494770592312,0.8152401713610553,0.7587174109983942,0.6509396667804055,0.8170574178078812,0.8248763763469645,0.8322222222222223
36,0.07245558412690012,0.7429533732308393,-3.63778002742549,0.4677193736178548,-4.331128276495702,-0.09333962741956144,0.6701809515026793,0.8558427063382446,0.7218305097212327,0.5832833901104781,0.8295672487851476,0.837478132978133,0.8433333333333334
37,0.1169943105658788,0.7513546957690866,-3.652697416666316,0.4606321469281525,-4.334331527127698,-0.09458191151984255,0.6707595412863406,0.8428875620698397,0.7215358918471965,0.5877633765647469,0.8228594184947126,0.831610776850715,0.8366666666666667
38,0.08380178041806938,0.7544401490644771,-3.7010606408921105,0.4476811523936529,-4.69130537827348,-0.10981191786245408,0.683001384678331,0.8190519003124692,0.7814892186458577,0.6843195411319922,0.8094611857892197,0.8184500042441218,0.8255555555555556
39,0.07248565171400469,0.7596784213117272,-3.867860236657438,0.44562984853002163,-4.672908013163136,-0.10778263874141647,0.7125618999795964,0.8152361811259958,0.7772151569933278,0.6687740107963449,0.811649349995152,0.8208331254801843,0.8277777777777778
40,0.10589527134972945,0.7673624900781477,-3.7396082622027036,0.4596616291074792,-4.4888332047842825,-0.0977988598650431,0.6886235149577464,0.8410999428029042,0.7475839766135435,0.6101800576985834,0.8286219479001738,0.8343639280109869,0.8422222222222222
41,0.07330324009345328,0.7720212511250818,-3.656377252044843,0.4615001240849625,-4.496690184416311,-0.09950577826803442,0.6716709053465779,0.8445203497711826,0.7484396847617122,0.617564580149049,0.8349354207251143,0.8474737332384391,0.8488888888888887
42,0.15199086995837233,0.7809561909838136,-4.077686032346827,0.44929597850483444,-4.816091573041405,-0.1139500522211093,0.7504543272938579,0.8224617406875658,0.8021221029152024,0.708953257193475,0.8122374462365514,0.8216739458798283,0.8277777777777778
43,0.06366142649190176,0.7843607726449472,-4.28006596845938,0.4445582556360053,-4.928116360543716,-0.11839111357926155,0.7879521262643254,0.8133451257347429,0.819999082132607,0.7348075762964662,0.8104252980730798,0.8208048248048249,0.8266666666666668
44,0.051184545078014995,0.7859269101394949,-3.816546250567528,0.4420506134776022,-4.74219153791352,-0.11143758864073375,0.7035883452438527,0.8088055743029223,0.7914015255011346,0.6972044726660082,0.7943023159693732,0.8093993998204525,0.8122222222222222
45,0.08762064852017092,0.7922238972607196,-3.7943243294177558,0.4542495296119099,-4.669404402238628,-0.10571515881985827,0.6997764609500229,0.8312083156061154,0.7767213365216328,0.6569260659281217,0.8278089435619451,0.8374689754689755,0.8422222222222222
46,0.12044749790010978,0.7985735839776732,-4.039248605711129,0.44306077619368744,-4.923210819342547,-0.11887407460927454,0.7434892057493465,0.8108005747202768,0.8209428617823603,0.7407322893319803,0.8380174102346475,0.8476041507512095,0.8511111111111112
47,0.12085595237770652,0.8040626218593345,-3.8646175641106595,0.4375068436352512,-4.872165283299092,-0.11586548622541426,0.7123489460544258,0.8005416827895345,0.8114730620768515,0.7217578635086356,0.8279584136157027,0.8359556696027285,0.8422222222222222
48,0.07203829832985488,0.8045861318595593,-4.042788165618957,0.4510135036695771,-4.904135360056505,-0.11661521727630371,0.7444902395650788,0.8253294356050993,0.815224260035406,0.7222864962996395,0.8603858802685224,0.8691138491138493,0.8722222222222221
49,0.17273465043930786,0.8170400370998298,-3.7793349567711134,0.4526551175668878,-4.699013683058515,-0.10934248219778875,0.6951995903404999,0.8285704373278884,0.7800074573901457,0.6761482067619704,0.8142563024216743,0.8247422305363482,0.8300000000000001
50,0.09376687556106124,0.8202082279998792,-4.038338018860029,0.44525248060126665,-4.88736149947474,-0.11676168458801109,0.7435590175457365,0.8147388506108975,0.8135269814422141,0.7258684680265479,0.8285450953035408,0.8400296827355651,0.8433333333333334
51,0.11740689090596594,0.8287370557931528,-3.8398738663359993,0.4448591535481293,-4.707039101230118,-0.10993997522269972,0.7076253649264569,0.8142557469227549,0.7837706363027858,0.6839812525000133,0.832667100641358,0.8345628587099176,0.8466666666666667
52,0.05989498481129192,0.8276797044631751,-4.046501472954813,0.44109148671041754,-4.889603374324606,-0.11599140683783346,0.7442201337528552,0.8072390977141986,0.8140666566504737,0.7216716093551737,0.8344153456944519,0.8428373010431833,0.8477777777777777
53,0.06541027375508825,0.8320127334133278,-4.109484616013029,0.44216572966457796,-5.001070300628531,-0.11983931108745045,0.757648861221752,0.8093335816094724,0.8326190869244092,0.7461345703626682,0.8140430929666008,0.8222142672142672,0.828888888888889
54,0.10029386838174008,0.8384522389561259,-4.217130327656141,0.43374684901790006,-5.167713149073776,-0.12794363537052486,0.7757703272286256,0.7936712286102912,0.8594881300517209,0.7942627419261846,0.8094884604980784,0.8229915911974736,0.8255555555555556
55,0.11145958382248186,0.8463920251836253,-3.986676952026336,0.4332741123341853,-4.920571437441496,-0.11923524289131944,0.734670924017331,0.7927757684047911,0.8188532232015943,0.7399929894666578,0.7804571526313877,0.7877755719226307,0.7977777777777778
56,0.130406062854934,0.8484992378162166,-4.116620213575229,0.44792835047417034,-5.065552273392537,-0.12399875120711892,0.7600164046535444,0.8195527953840133,0.8422120749975786,0.7691381652447611,0.7883077727751431,0.7954939977463198,0.8055555555555556
57,0.09888200671432686,0.8557815709480291,-4.160418759290501,0.4266688385341187,-5.05918103420936,-0.12338609382371538,0.7656043732426925,0.7808943104554131,0.8431664562546001,0.7682836990483342,0.8228013129710454,0.8288936662466074,0.8377777777777778
58,0.15433225815943846,0.8579200188342961,-4.236569126576504,0.43481147248337104,-5.086781371053282,-0.12420613608480417,0.7808681534163292,0.7954172540672471,0.8469522361146946,0.7718264606710614,0.8066060796724551,0.8132586999057588,0.8222222222222222
59,0.10000035875286842,0.8578638587821233,-4.011001203475466,0.4463950166462293,-4.997262579495224,-0.12043195644179247,0.7380836698300606,0.8169345291375674,0.8319096750252996,0.7485238917734458,0.8300609506863518,0.8381414511414512,0.8444444444444444
60,0.11781919054876225,0.8631102130264635,-3.941471466764976,0.4490786695831025,-4.958436915395181,-0.11865060313425464,0.7265200159143193,0.8217359558999471,0.8256495907625215,0.7386398094952353,0.8080237769442762,0.8174793311263899,0.8233333333333335
61,0.16532086518278816,0.8702846244282065,-3.9105454703038918,0.4429111580638332,-4.948388901042309,-0.11813549190777237,0.7194769997708436,0.8102594993154237,0.8246500023009078,0.7352637286030552,0.8020828954402048,0.8102020789667849,0.8188888888888888
62,0.07611034268050995,0.871567109617633,-3.978392535258353,0.443189542078027,-4.947661024303973,-0.11781540068681373,0.7330015832031708,0.8111102764567235,0.8239366838537157,0.7324501527512046,0.8255805303992594,0.8300660777131366,0.8400000000000001
63,0.12427781455145807,0.8758044068971657,-4.257292423588731,0.438612602252617,-5.160690569503811,-0.1267576841346693,0.7839204773922586,0.8024917245228481,0.8593811777069412,0.7887427878043907,0.7962120319958189,0.7988875710346298,0.8122222222222222
64,0.13371918653890652,0.8784284440577437,-4.10711706775823,0.45025084709403085,-5.016971776460966,-0.1201063101956918,0.7543056577761107,0.8237935496466937,0.8351367977199262,0.7455135293942157,0.8102849734096991,0.816432785079844,0.8255555555555556
65,0.12046023704062167,0.8838036267309723,-4.153108869797693,0.4510513004853993,-5.139849021002644,-0.12660370842178367,0.7651800897219785,0.8254145700395716,0.8545629333022289,0.7857269391811947,0.799665383425291,0.8098274677392325,0.8155555555555555
66,0.11623976103180696,0.8850318729654539,-4.3001724973385524,0.4456102001385934,-5.2516231666254,-0.1310971620188371,0.7938531832108486,0.8153046622264096,0.873058042799838,0.8131722697053314,0.7983291456311433,0.8072760928442044,0.8144444444444444
67,0.11026080900992274,0.8930445366215626,-4.234231087920418,0.44052312812323835,-5.140752227342309,-0.12568156873674924,0.7807386956753988,0.8061030591938124,0.8555837838244333,0.7811321192863038,0.8219460435792524,0.8274314661373486,0.8366666666666667
68,0.0839410986099256,0.8982834332545071,-4.532476852798396,0.4339255006499972,-5.360722404853003,-0.1346108302421573,0.8345115443266696,0.7941460912095213,0.8928885436549482,0.8370150538426617,0.833346104393768,0.8426701446701447,0.8477777777777777
69,0.10127367725653535,0.8979329553564532,-4.312568993126483,0.44280039934802484,-5.279952485200812,-0.131809052534673,0.7961663636071995,0.810512970823589,0.8767074884218141,0.8158084054060308,0.8236145798029618,0.8260097495097496,0.8377777777777778
70,0.11518578024811495,0.9055959559458466,-4.3631471660602825,0.4437672697357041,-5.235426495207622,-0.1296034772948242,0.8030944321615902,0.8121874464133102,0.870859704091445,0.8050924484966833,0.833199580272904,0.840456413956414,0.8466666666666667
71,0.1514731900789012,0.9089009017440832,-4.20640190108955,0.43937276948447,-5.294454039792341,-0.132842417657113,0.7729839459101723,0.8039814889948775,0.8813202371530474,0.8242361519462497,0.8111881706931664,0.8213640063640064,0.8266666666666665
72,0.07455422459828889,0.9101770010254885,-4.3349588029672885,0.44069735949146127,-5.402720202152241,-0.13610500759803026,0.7976193802394371,0.806532971449381,0.8981305239141957,0.8443870190987413,0.8069908328474881,0.8114049041200744,0.8222222222222222
73,0.10300644187019006,0.915622705817168,-4.371571625980476,0.437087043451733,-5.319244690035052,-0.1338962042568849,0.808421617522669,0.7996872846890672,0.88680883279531,0.8359445442143751,0.7738520654604261,0.7834924606983431,0.7922222222222223
74,0.09896239560428019,0.9195474937952796,-4.208780110739743,0.4338996132578529,-5.2923362385827675,-0.13146133826385148,0.7745605841330709,0.7940100115968297,0.8803464632905686,0.8166909460476098,0.8005485072097331,0.8058071188071189,0.8166666666666668
75,0.1780863125574647,0.9227243942013874,-4.458137062037978,0.43667974942308146,-5.44847539340215,-0.13920244281434815,0.821379677216704,0.7990695688206266,0.9075765604648696,0.8667363204874496,0.7994443705580132,0.8082004988475576,0.8166666666666668
76,0.13663806167225548,0.9217725188215283,-4.176149243823065,0.44826867656178954,-5.2676814376286725,-0.13017846104254172,0.7703946781095842,0.8202444814027972,0.8760554033369123,0.8085903230808682,0.8252425683354717,0.8362934102934103,0.8400000000000001
77,0.1257919582354933,0.9277745732296421,-4.362786562193561,0.4428680614690267,-5.3914676463762286,-0.1357465682469043,0.8026529810454335,0.8102777744680403,0.8970082602807745,0.8434646289337049,0.7892654486259635,0.800260990013312,0.8066666666666666
78,0.10899032595732439,0.9344090793616477,-4.380998611335851,0.44764751417264464,-5.387579202334523,-0.13389157673378974,0.8058704567261316,0.8190306265567948,0.8958226114108419,0.8299195770153206,0.8076792698910763,0.8136616775610583,0.8233333333333333
