DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33,Topic_34,Topic_35,Topic_36,Topic_37,Topic_38
10320929,108,0,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.9792825,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295,0.00055992295
10531012,108,0,0.0003060185,0.0003060185,0.0003060185,0.28499347,0.12105625,0.0003060185,0.0003060185,0.0003060185,0.0003060185,0.17824408,0.0003060185,0.0003060185,0.0003060185,0.0003060185,0.0003060185,0.0003060185,0.0003060185,0.0003060185,0.0003060185,0.0003060185,0.08507606,0.0003060185,0.0003060185,0.0003060185,0.0003060185,0.0003060185,0.0003060185,0.0003060185,0.0003060185,0.0003060185,0.0003060185,0.0003060185,0.0003060185,0.0003060185,0.0003060185,0.0003060185,0.12350063,0.19733632
10725388,108,0,0.000289194,0.000289194,0.000289194,0.000289194,0.98930055,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194,0.000289194
10806067,108,0,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.27387854,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.6054,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.00032897573,0.10920747,0.00032897573,0.00032897573,0.00032897573
10946305,108,0,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.98377085,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114,0.0004386114
10969025,108,0,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.98524725,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694,0.00039873694
11950889,108,0,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.0002482664,0.9908142,0.0002482664,0.0002482664,0.0002482664
12217649,108,0,0.0004177331,0.0004177331,0.0004177331,0.4050771,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.0004177331,0.5798845
12297500,108,0,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.98941684,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492,0.0002860492
12415118,108,0,0.0003604993,0.0003604993,0.0003604993,0.98666245,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993,0.0003604993
12417022,108,0,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.00042446764,0.98429465
12461557,108,0,0.00077405054,0.00077405054,0.00077405054,0.27994636,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.6921865,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054,0.00077405054
