ExperimentID,Fold,Topics,UMass,CV,UCI,NPMI,AbsUMass,AbsCV,AbsUCI,AbsNPMI,NAC_UMass,NAC_CV,NAC_UCI,NAC_NPMI
F1_K066,1,66,-4.835511142366363,0.4241892812460372,-5.670399826014183,-0.1500432658729775,4.835511142366363,0.4241892812460372,5.670399826014183,0.1500432658729775,0.9416255539734245,0.7900209105635773,0.9413958212097694,0.9322983922796649
F1_K067,1,67,-4.291052856942367,0.4356925549544498,-5.131985884920886,-0.1242499290077116,4.291052856942367,0.4356925549544498,5.131985884920886,0.1242499290077116,0.8356024636457076,0.8114449002101026,0.8520087145191653,0.7720307098141765
F1_K068,1,68,-4.330981107368858,0.4413957109541389,-5.167878080217027,-0.1259601760948302,4.330981107368858,0.4413957109541389,5.167878080217027,0.1259601760948302,0.8433777452695309,0.8220666030563544,0.8579675117296933,0.782657382063976
F1_K069,1,69,-4.912323596401523,0.448337863889768,-5.768045910416911,-0.1525802402584995,4.912323596401523,0.448337863889768,5.768045910416911,0.1525802402584995,0.9565833459117387,0.8349958453214276,0.9576069559859284,0.948061959722133
F1_K070,1,70,-4.193783813377882,0.431963477477563,-5.14152174597493,-0.1252499712045246,4.193783813377882,0.431963477477563,5.14152174597493,0.1252499712045246,0.816661132660365,0.8044997714336319,0.8535918515153837,0.7782445023951103
F1_K071,1,71,-4.310797616236009,0.4516112800225057,-5.135730902557807,-0.1239102227336276,4.310797616236009,0.4516112800225057,5.135730902557807,0.1239102227336276,0.8394473870386147,0.8410923388166015,0.852630459733247,0.7699199345565655
F1_K072,1,72,-4.199590262058305,0.4507463078840577,-5.472857279870545,-0.1383159482415845,4.199590262058305,0.4507463078840577,5.472857279870545,0.1383159482415845,0.8177918301800994,0.8394813926974032,0.9085999455825162,0.8594303477867081
F1_K073,1,73,-4.878636873349071,0.4143344115343732,-5.902100852937621,-0.1593978276551735,4.878636873349071,0.4143344115343732,5.902100852937621,0.1593978276551735,0.9500234852637304,0.771666950462972,0.97986266397367,0.9904232461961697
F1_K074,1,74,-3.906565696586304,0.41964596764236,-4.995044687245825,-0.1201520085496217,3.906565696586304,0.41964596764236,4.995044687245825,0.1201520085496217,0.760730764520892,0.7815593277069584,0.8292738324652871,0.7465681565130408
F1_K075,1,75,-4.478567139162026,0.4323059900278488,-5.505427891443701,-0.1467386578898956,4.478567139162026,0.4323059900278488,5.505427891443701,0.1467386578898956,0.8721173706895589,0.8051376755222535,0.9140072957818,0.9117651101505623
F1_K076,1,76,-4.390234349031353,0.4340226471205108,-5.294487650979815,-0.131654359785218,4.390234349031353,0.4340226471205108,5.294487650979815,0.131654359785218,0.8549162082908079,0.8083348213706505,0.8789871442950096,0.8180383654690413
F1_K077,1,77,-4.2221546958497775,0.4287205529252893,-5.401682682861286,-0.1367382480834982,4.2221546958497775,0.4287205529252893,5.401682682861286,0.1367382480834982,0.8221858325602891,0.7984600662337492,0.8967835886664813,0.8496272599085194
F1_K078,1,78,-4.47060579601597,0.4412502091633652,-5.445728155821861,-0.1374137781522409,4.47060579601597,0.4412502091633652,5.445728155821861,0.1374137781522409,0.8705670476875922,0.821795616819036,0.9040959873439198,0.8538246865198447
F1_K079,1,79,-4.715358463951377,0.4367622997724912,-5.6759121880318055,-0.1478427571453908,4.715358463951377,0.4367622997724912,5.6759121880318055,0.1478427571453908,0.9182280621586223,0.8134372201780595,0.9423109797043394,0.9186254644278863
F1_K080,1,80,-3.635805880074263,0.4408849380061562,-4.8358389029020525,-0.1145616062717281,3.635805880074263,0.4408849380061562,4.8358389029020525,0.1145616062717281,0.708005343213699,0.8211153265218054,0.8028425992732177,0.7118320220683997
F1_K081,1,81,-4.427382877599556,0.4610466256528763,-5.4820169484221495,-0.138079176052965,4.427382877599556,0.4610466256528763,5.4820169484221495,0.138079176052965,0.8621501909582978,0.8586649665937375,0.9101206273620599,0.8579591565972723
F1_K082,1,82,-4.732289067504676,0.4224025311082539,-5.690732388848968,-0.1487822047978871,4.732289067504676,0.4224025311082539,5.690732388848968,0.1487822047978871,0.9215249812392757,0.7866932216444825,0.9447714190995933,0.924462750966255
F1_K083,1,83,-4.246325109647984,0.4585219061585969,-5.531743891400435,-0.1407944004045547,4.246325109647984,0.4585219061585969,5.531743891400435,0.1407944004045547,0.8268925695757611,0.8539628647680402,0.9183762597262065,0.8748302856208747
F1_K084,1,84,-4.236838615990041,0.4227424995300622,-5.333691227140393,-0.133604967152788,4.236838615990041,0.4227424995300622,5.333691227140393,0.133604967152788,0.8250452519741818,0.7873263874834942,0.8854956946453274,0.8301585236259152
F1_K085,1,85,-4.032619110875484,0.4469038101256118,-5.166081386569836,-0.1240435349419147,4.032619110875484,0.4469038101256118,5.166081386569836,0.1240435349419147,0.7852773145268145,0.8323250271026649,0.857669225904468,0.7707482740140825
F1_K086,1,86,-4.938431692898092,0.4287510248036813,-5.890835768031754,-0.1576134640554138,4.938431692898092,0.4287510248036813,5.890835768031754,0.1576134640554138,0.9616674104714045,0.7985168178354001,0.9779924424405596,0.9793360487426923
F1_K087,1,87,-4.841088812169383,0.4202705475320345,-5.678194930325117,-0.1470565138538697,4.841088812169383,0.4202705475320345,5.678194930325117,0.1470565138538697,0.942711701076289,0.7827225611854445,0.9426899589865345,0.9137401178422798
F1_K088,1,88,-4.783518483762722,0.432381914879734,-5.658470048652264,-0.1467743551751323,4.783518483762722,0.432381914879734,5.658470048652264,0.1467743551751323,0.9315009540048169,0.8052790798982541,0.9394152478990567,0.9119869163172122
F1_K089,1,89,-4.2776534534111725,0.460708773334986,-5.2928238479105305,-0.1310138527058644,4.2776534534111725,0.460708773334986,5.2928238479105305,0.1310138527058644,0.8329931798695978,0.8580357418405055,0.8787109208707715,0.8140585552666253
F1_K090,1,90,-4.212741117972409,0.4459070736826525,-5.370628554080556,-0.1350219490766791,4.212741117972409,0.4459070736826525,5.370628554080556,0.1350219490766791,0.8203527139462119,0.830468679790103,0.8916280038819003,0.8389629838717446
