ExperimentID,Fold,Topics,LogPerplexityTrain,Perplexity
F1_K041,1,41,-6.5578781877623955,94.21456394842048
F1_K042,1,42,-6.54298482646895,93.2469625602942
F1_K043,1,43,-6.58585087974716,96.05913283650992
F1_K044,1,44,-6.548810637508896,93.62426856436856
F1_K045,1,45,-6.576341316185127,95.4280386745093
F1_K046,1,46,-6.607510302672725,97.51216474323607
F1_K047,1,47,-6.637315758890773,99.54767794877174
F1_K048,1,48,-6.630273480834492,99.06293642181582
F1_K049,1,49,-6.620545090991293,98.39718181834472
F1_K050,1,50,-6.6442452262224165,100.02696958782485
F1_K051,1,51,-6.676132250906535,102.26241920461594
F1_K052,1,52,-6.609953971079058,97.67747294188419
F1_K053,1,53,-6.64353539875958,99.97776693314306
F1_K054,1,54,-6.680629668104679,102.58170662234723
F1_K055,1,55,-6.68002069224429,102.53841500590835
F1_K056,1,56,-6.699673041726172,103.94474704462989
F1_K057,1,57,-6.745491949593041,107.2989352366493
F1_K058,1,58,-6.698882179743825,103.88778183818859
F1_K059,1,59,-6.675895984679457,102.24567333873483
F1_K060,1,60,-6.711149889778192,104.77494034153081
F1_K061,1,61,-6.69106359087717,103.3262918357094
F1_K062,1,62,-6.7030365525960365,104.18736738098104
F1_K063,1,63,-6.747505033329704,107.44876074095305
F1_K064,1,64,-6.7280537413500925,106.00979351260877
F1_K065,1,65,-6.747137515822335,107.42139232961199
F1_K066,1,66,-6.727992462535913,106.00529081710289
F1_K067,1,67,-6.752951462230652,107.8551654558076
F1_K068,1,68,-6.7519815146399464,107.78267702548332
F1_K069,1,69,-6.753281651094786,107.87985303647436
F1_K070,1,70,-6.797772391896538,111.25854949994833
F1_K071,1,71,-6.740573349458204,106.93374237659427
F1_K072,1,72,-6.762522189596345,108.57304683712587
F1_K073,1,73,-6.802783426875388,111.64566516264067
F1_K074,1,74,-6.791300747433799,110.76058338726311
F1_K075,1,75,-6.781452339154574,110.00706257808208
F1_K076,1,76,-6.781592122518644,110.01772172767134
F1_K077,1,77,-6.776064600875457,109.59700783754037
F1_K078,1,78,-6.781635745059101,110.02104836631563
F1_K079,1,79,-6.778746803713152,109.8009558843202
F1_K080,1,80,-6.800158824513569,111.44274002009307
F1_K081,1,81,-6.792987487810042,110.89015588809526
F1_K082,1,82,-6.821052933748686,113.06847509522072
F1_K083,1,83,-6.790256281142557,110.68042519294501
F1_K084,1,84,-6.8487044780051285,115.25651383064472
F1_K085,1,85,-6.808707223341646,112.1050317258272
F1_K086,1,86,-6.8590918651753086,116.08935398393065
F1_K087,1,87,-6.847792840827152,115.18370639071094
F1_K088,1,88,-6.85172909892243,115.49840344492146
F1_K089,1,89,-6.839313936527799,114.50874230273536
F1_K090,1,90,-6.83095990127164,113.84758681255872
F1_K091,1,91,-6.841149639618697,114.6545373849124
F1_K092,1,92,-6.855789384142809,115.82391713729376
F1_K093,1,93,-6.920964385807534,121.17635341680975
F1_K094,1,94,-6.874523955077201,117.3377932843279
F1_K095,1,95,-6.9160146205692765,120.76131992854282
F1_K096,1,96,-6.850325575742336,115.38609567657845
F1_K097,1,97,-6.9137348156908285,120.57063872199161
F1_K098,1,98,-6.900964533432326,119.50809497965322
F1_K099,1,99,-6.845833290631363,115.02736355142768
F1_K100,1,100,-6.874767444627669,117.35759853550567
F2_K002,2,2,-6.255289554822872,76.3888175651546
F2_K003,2,3,-6.15113438611388,71.06830501075933
