ExperimentID,Fold,Topics,LogPerplexityTest,PerplexityTest,DeltaLogPerplexity,RPC
F2_K075,2,75,-12.84462810646404,7355.604049037363,-0.47741024682396294,0.47741024682396294
F2_K076,2,76,-12.654679857429706,6448.195892439672,0.18994824903433383,0.18994824903433383
F2_K077,2,77,-12.805698629828731,7159.775468866591,-0.15101877239902528,0.15101877239902528
F2_K078,2,78,-12.956221575771222,7947.148435576011,-0.15052294594249105,0.15052294594249105
F2_K079,2,79,-12.697232057032974,6641.217613907832,0.2589895187382485,0.2589895187382485
F2_K080,2,80,-12.854291598135205,7405.038895908106,-0.15705954110223175,0.15705954110223175
F2_K081,2,81,-12.612911620436673,6264.187238060514,0.24137997769853214,0.24137997769853214
F2_K082,2,82,-12.811723097602716,7189.736077940265,-0.19881147716604275,0.19881147716604275
F2_K083,2,83,-13.13518432458622,8996.725715386203,-0.323461226983504,0.323461226983504
F2_K084,2,84,-13.04278229098571,8438.566875186692,0.09240203360051069,0.09240203360051069
F2_K085,2,85,-13.03792097813775,8410.18008855951,0.004861312847959098,0.004861312847959098
F2_K086,2,86,-13.147770632111856,9075.557995018522,-0.10984965397410562,0.10984965397410562
F2_K087,2,87,-13.04744593418386,8465.88944921323,0.10032469792799503,0.10032469792799503
F2_K088,2,88,-13.007067646763542,8232.230410259168,0.040378287420319126,0.040378287420319126
F2_K089,2,89,-13.210588393770337,9479.45494819323,-0.20352074700679523,0.20352074700679523
F2_K090,2,90,-13.465099397344453,11308.33884268418,-0.25451100357411605,0.25451100357411605
F2_K091,2,91,-13.129441482313512,8960.984218870099,0.3356579150309411,0.3356579150309411
F2_K092,2,92,-13.298550123404087,10075.404385949872,-0.16910864109057577,0.16910864109057577
F2_K093,2,93,-13.306692038540636,10132.426140337055,-0.00814191513654805,0.00814191513654805
F2_K094,2,94,-13.363869049788661,10542.05899128024,-0.05717701124802588,0.05717701124802588
F2_K095,2,95,-13.565828285719219,12126.102362969976,-0.2019592359305573,0.2019592359305573
F2_K096,2,96,-13.644734078160884,12807.791245273109,-0.07890579244166496,0.07890579244166496
F2_K097,2,97,-13.535002703586834,11869.756373821401,0.10973137457405002,0.10973137457405002
F2_K098,2,98,-13.664319306412382,12982.848270517186,-0.1293166028255488,0.1293166028255488
F2_K099,2,99,-13.530305602333762,11831.1738710546,0.13401370407862068,0.13401370407862068
F2_K100,2,100,-13.422361757310384,10978.25973624563,0.10794384502337806,0.10794384502337806
F3_K002,3,2,-6.555923034058939,94.08696997511483,,
F3_K003,3,3,-6.666995355773895,101.6168160407573,-0.11107232171495607,0.11107232171495607
F3_K004,3,4,-6.778853636942502,109.80908707262095,-0.1118582811686073,0.1118582811686073
F3_K005,3,5,-6.919433845808976,121.04786686473822,-0.14058020886647427,0.14058020886647427
F3_K006,3,6,-7.078930977762121,135.19809166619913,-0.1594971319531444,0.1594971319531444
F3_K007,3,7,-7.248392850026475,152.0490350121636,-0.16946187226435416,0.16946187226435416
F3_K008,3,8,-7.3608347117149755,164.37359033606887,-0.11244186168850057,0.11244186168850057
F3_K009,3,9,-7.470064686988518,177.30196153506452,-0.10922997527354283,0.10922997527354283
