ExperimentID,Fold,Topics,MeanLogPerplexity,PerplexityTest,AbsLogPerplexity,NAP
F1_K064,1,64,-12.234167998267983,4817.830752998973,12.234167998267983,0.8903804545798272
F1_K065,1,65,-12.369204086102727,5290.557665221787,12.369204086102727,0.9002081349981443
F1_K066,1,66,-12.149177841875103,4542.2073222848285,12.149177841875103,0.8841950258612894
F1_K067,1,67,-12.284069109085022,4987.389316471996,12.284069109085022,0.8940121664984149
F1_K068,1,68,-12.453416743426025,5608.567980807671,12.453416743426025,0.9063369787511081
F1_K069,1,69,-12.278792298153462,4969.180728519331,12.278792298153462,0.8936281298138901
F1_K070,1,70,-12.69249967853256,6619.468551195234,12.69249967853256,0.9237369991262225
F1_K071,1,71,-12.425696784824957,5501.833574773118,12.425696784824957,0.9043195706736935
F1_K072,1,72,-12.579951930805871,6122.698516656683,12.579951930805871,0.9155459791241257
F1_K073,1,73,-12.731915034147494,6802.809781956266,12.731915034147494,0.926605576887687
F1_K074,1,74,-12.777946869310432,7023.3658351279355,12.777946869310432,0.9299556899745206
F1_K075,1,75,-12.63481528915952,6360.018687249391,12.63481528915952,0.9195388343765314
F1_K076,1,76,-12.860526934810283,7437.112780548191,12.860526934810283,0.9359657166693803
F1_K077,1,77,-12.752398310109164,6900.084480282335,12.752398310109164,0.9280963123888356
F1_K078,1,78,-12.705152804420615,6677.7797930002125,12.705152804420615,0.9246578705726223
F1_K079,1,79,-12.739587040384528,6839.082324564455,12.739587040384528,0.9271639315221694
F1_K080,1,80,-13.059115152299112,8534.64335707299,13.059115152299112,0.9504186052832145
F1_K081,1,81,-12.88871906213523,7583.872855407415,12.88871906213523,0.9380174883261626
F1_K082,1,82,-13.096053606689074,8755.984022903558,13.096053606689074,0.9531069186867795
F1_K083,1,83,-13.057779858405715,8526.747728039556,13.057779858405715,0.9503214250267419
F1_K084,1,84,-13.285360035160913,9983.708076963621,13.285360035160913,0.9668842956086513
F1_K085,1,85,-13.17189738101032,9228.608265012455,13.17189738101032,0.958626690384108
F1_K086,1,86,-13.178280852234177,9269.532421806896,13.178280852234177,0.9590912677882192
F1_K087,1,87,-13.272461102657136,9894.8430107541,13.272461102657136,0.9659455348046528
F1_K088,1,88,-13.3393467057719,10364.38366098347,13.3393467057719,0.9708133471245916
F1_K089,1,89,-13.37468073905471,10621.358919856712,13.37468073905471,0.9733848936834537
F1_K090,1,90,-13.413003426481053,10907.277520993028,13.413003426481053,0.9761739490451439
F1_K091,1,91,-13.401431782574509,10820.141777092907,13.401431782574509,0.9753317858867498
