ExperimentID,Fold,Topics,UMass,CV,UCI,NPMI
F2_K049,2,49,-4.053299925573977,0.438139661950958,-5.093243867575362,-0.12493625100103552
F2_K050,2,50,-4.159077583398723,0.46145477995466505,-5.047748730745013,-0.12353636546251759
F2_K051,2,51,-3.8118665863692294,0.45549413071000583,-4.73071812149713,-0.11076013634776422
F2_K052,2,52,-4.59321377946961,0.4506594114743811,-5.3108210687172415,-0.13437353788537465
F2_K053,2,53,-4.474854920051644,0.45532261564842963,-5.279123514918297,-0.13118589479586126
F2_K054,2,54,-4.365780244105299,0.4380367663613302,-5.371221975906934,-0.1368826795957758
F2_K055,2,55,-3.864330496914742,0.44162404831276875,-4.93709580296969,-0.12244396171345642
F2_K056,2,56,-4.510394163087345,0.4421140731372958,-5.431678187520569,-0.13963820227615953
F2_K057,2,57,-4.150844842000612,0.4282553198632799,-5.201782869254915,-0.13117611982094482
F2_K058,2,58,-3.9700378966815117,0.449912855542732,-5.007593594335294,-0.12190249555615593
F2_K059,2,59,-3.890389837058292,0.4463774912363076,-5.037285209114919,-0.12377255547484105
F2_K060,2,60,-3.6121983815514733,0.4491461353301285,-4.99277619266123,-0.11908259742323649
F2_K061,2,61,-3.7690998759682772,0.4450300091187429,-4.9395629401646275,-0.12063390909735808
F2_K062,2,62,-4.014038858334339,0.42503979748427106,-5.170772083599729,-0.12948367413357792
F2_K063,2,63,-4.129605812568964,0.4673233000157106,-5.294193078060252,-0.12874209311542026
F2_K064,2,64,-4.299225736841539,0.444227897915325,-5.128045217287397,-0.12706677149230752
F2_K065,2,65,-4.186096685439165,0.47228165414358364,-5.318609345335399,-0.13587786761363313
F2_K066,2,66,-4.62625396318542,0.442220250955333,-5.5544461994279875,-0.144457935303386
F2_K067,2,67,-4.49419202782675,0.4544300070100383,-5.457296882693083,-0.14266287115117512
F2_K068,2,68,-4.975353802856343,0.43735072432180155,-5.9012927485925655,-0.16019742628808545
F2_K069,2,69,-4.697907881689766,0.43601080522096614,-5.582166867361766,-0.14385001271068315
F2_K070,2,70,-4.4839384396198,0.4657539810920008,-5.35397317068538,-0.13546294515571658
F2_K071,2,71,-4.255126973274947,0.4497335182837353,-5.5329539387974105,-0.1437281487580209
F2_K072,2,72,-4.393548151285513,0.44115003321951285,-5.513776909116764,-0.14177905986360778
F2_K073,2,73,-4.295555252127604,0.4498480883328984,-5.216573815974656,-0.1305952025812169
