ExperimentID,Fold,Topics,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC
F1_K091,1,91,0.8833333333333333,0.8833333333333334,0.8976190476190476,0.8833333333333334,0.8803962703962706,0.8722569161950547
F1_K092,1,92,0.7833333333333333,0.7833333333333333,0.8041666666666666,0.7833333333333333,0.7602380952380953,0.7661477215057013
F1_K093,1,93,0.7666666666666667,0.7666666666666667,0.767857142857143,0.7666666666666667,0.72995670995671,0.7565506537904342
F1_K094,1,94,0.75,0.7500000000000001,0.6297619047619049,0.7500000000000001,0.6728296703296703,0.7355087432489478
F1_K095,1,95,0.85,0.85,0.8847619047619049,0.85,0.8440850815850816,0.8380019039424886
F1_K096,1,96,0.8666666666666667,0.8666666666666666,0.9212121212121211,0.8666666666666666,0.8681639928698752,0.8587710995822833
F1_K097,1,97,0.75,0.7500000000000001,0.8228205128205129,0.7500000000000001,0.738092959671907,0.7324670207647144
F1_K098,1,98,0.8166666666666667,0.8166666666666668,0.8460714285714286,0.8166666666666668,0.806023976023976,0.8002579938663664
F1_K099,1,99,0.85,0.85,0.8915476190476189,0.85,0.8463120213120213,0.8385254915624212
F1_K100,1,100,0.95,0.95,0.9571428571428571,0.95,0.947832167832168,0.9456125889162177
F2_K002,2,2,0.3333333333333333,0.3333333333333333,0.23886363636363636,0.3333333333333333,0.22796791443850267,0.288638320830129
F2_K003,2,3,0.4666666666666667,0.4666666666666667,0.42777777777777776,0.4666666666666667,0.3919191919191919,0.42353139807578605
F2_K004,2,4,0.48333333333333334,0.4833333333333333,0.5019047619047619,0.4833333333333333,0.4471572871572872,0.4355779379383786
F2_K005,2,5,0.55,0.55,0.5828571428571429,0.55,0.5260639360639361,0.5096880531086824
F2_K006,2,6,0.5833333333333334,0.5833333333333334,0.604047619047619,0.5833333333333334,0.5453163503163503,0.5502737327554448
F2_K007,2,7,0.6166666666666667,0.6166666666666666,0.5603174603174603,0.6166666666666666,0.5511738261738262,0.5924624555768674
F2_K008,2,8,0.6333333333333333,0.6333333333333334,0.5476190476190477,0.6333333333333334,0.5798193473193474,0.6017632106875921
F2_K009,2,9,0.6833333333333333,0.6833333333333333,0.6301587301587301,0.6833333333333333,0.6416666666666667,0.6544400108880868
