Topics,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC,AccuracyStd,BalancedAccuracyStd,PrecisionStd,RecallStd,F1Std,MCCStd
12,0.78,0.78,0.8128924963924964,0.78,0.7676599217775688,0.7609014201336382,0.029814239699997188,0.029814239699997244,0.026673233056948284,0.029814239699997244,0.034677171822234606,0.032366289369922724
13,0.79,0.7899999999999999,0.8188656898656899,0.7899999999999999,0.7855857359015254,0.7707406525948284,0.08787617550976047,0.0878761755097604,0.07432068812540818,0.0878761755097604,0.08938400156105061,0.09561691619809726
14,0.82,0.82,0.835495670995671,0.82,0.8091918343094815,0.8038664166506416,0.06168918507773916,0.06168918507773916,0.048470558732189674,0.06168918507773916,0.06320093400363633,0.06708569604005324
15,0.8433333333333334,0.8433333333333334,0.8525238095238095,0.8433333333333334,0.8391794871794872,0.8285940254395072,0.08465616732800194,0.08465616732800206,0.09186016219827275,0.08465616732800206,0.09096264350266943,0.09217146732654663
16,0.8533333333333333,0.8533333333333333,0.8756507936507937,0.8533333333333333,0.8454393384393384,0.8406125237322566,0.06810938913900848,0.06810938913900848,0.061934959057378496,0.06810938913900848,0.07347888400994437,0.07417780810800628
17,0.8466666666666667,0.8466666666666667,0.8479682539682539,0.8466666666666667,0.8383829503829505,0.832369286846891,0.07207249436813216,0.07207249436813216,0.09065150013065716,0.07207249436813216,0.08240552933254763,0.0784576079244814
18,0.9,0.9,0.9067857142857143,0.9,0.8984465534465536,0.8901245306510273,0.06770032003863297,0.06770032003863302,0.06262979719429597,0.06770032003863302,0.06856604948815428,0.07414883438783906
19,0.8333333333333334,0.8333333333333334,0.8361825396825397,0.8333333333333334,0.8206928626928628,0.8188322212979167,0.09052317076000183,0.09052317076000177,0.1092181740206599,0.09052317076000177,0.10210247997494223,0.09904244635828303
20,0.8366666666666667,0.8366666666666667,0.8714834054834055,0.8366666666666667,0.8332279354632295,0.8230999923209128,0.08449194570424384,0.08449194570424384,0.07264359507698753,0.08449194570424384,0.0866217421606503,0.09207534521851238
21,0.86,0.86,0.8842222222222222,0.86,0.8535233655233656,0.848410369797695,0.04801620096962642,0.04801620096962645,0.041134513701211115,0.04801620096962645,0.050490597853542624,0.05184186809877404
22,0.8666666666666666,0.8666666666666666,0.881090909090909,0.8666666666666666,0.8646373887550359,0.8542679874732911,0.060092521257733164,0.06009252125773306,0.055387972292310676,0.06009252125773306,0.06200588033711296,0.06500158801444678
23,0.8699999999999999,0.8700000000000001,0.8893095238095239,0.8700000000000001,0.865485014985015,0.8582972180873469,0.04314059701848259,0.043140597018482635,0.04157774525183824,0.043140597018482635,0.04370443969395919,0.04757991995478261
24,0.8766666666666667,0.8766666666666667,0.8958253968253966,0.8766666666666667,0.8756293706293707,0.8653148922034974,0.022360679774997838,0.022360679774997946,0.026334117883009513,0.022360679774997946,0.025866693424193413,0.024805231503828292
25,0.8866666666666667,0.8866666666666667,0.8968095238095237,0.8866666666666667,0.8862142302142303,0.875882272654937,0.07763876465901412,0.07763876465901408,0.07066709183545564,0.07763876465901408,0.07800256865645372,0.08419292642619092
26,0.8866666666666667,0.8866666666666667,0.9016190476190478,0.8866666666666667,0.8853183483183482,0.8758721076248672,0.050552502960343644,0.050552502960343706,0.04456243549893081,0.050552502960343706,0.05196877020848048,0.055385501917308
27,0.8800000000000001,0.8800000000000001,0.8949523809523809,0.8800000000000001,0.8757690087690089,0.8691813972642463,0.041499665326629076,0.041499665326629145,0.0468840297425249,0.041499665326629145,0.0439175565415428,0.045915105697705995
28,0.85,0.85,0.8616666666666667,0.85,0.8472101232101231,0.8353278760723153,0.03908679799852855,0.03908679799852859,0.03802253106357764,0.03908679799852859,0.0398833840868449,0.04303135199026286
29,0.8833333333333334,0.8833333333333334,0.9040714285714285,0.8833333333333334,0.8805091575091575,0.8729626224428584,0.05527707983925661,0.05527707983925664,0.04145681850375781,0.05527707983925664,0.058255820362931886,0.059705042793423806
30,0.8866666666666667,0.8866666666666667,0.8995238095238095,0.8866666666666667,0.88188011988012,0.8768042986657264,0.05055250296034371,0.050552502960343665,0.048263789988316125,0.050552502960343665,0.05479636822743096,0.05458172683789884
31,0.8733333333333333,0.8733333333333334,0.8720714285714287,0.8733333333333334,0.8605658785658786,0.8627156469911904,0.06831300510639737,0.06831300510639737,0.09358655820977191,0.06831300510639737,0.08169020280104289,0.0737468664006501
32,0.8666666666666666,0.8666666666666668,0.8744761904761905,0.8666666666666668,0.8575997335997336,0.8556213374061075,0.04859126579037749,0.04859126579037747,0.06268609483179487,0.04859126579037747,0.06123450050609934,0.05110615176563155
33,0.8633333333333333,0.8633333333333333,0.8811825396825397,0.8633333333333333,0.8584415584415584,0.850674738861153,0.06055300708194982,0.060553007081949876,0.05688674694362625,0.060553007081949876,0.06371280916840232,0.06666938688670938
34,0.8533333333333333,0.8533333333333333,0.8525757575757575,0.8533333333333333,0.8422779312191077,0.840478764202604,0.07110243002567178,0.07110243002567174,0.0925931511605248,0.07110243002567174,0.08282133280635759,0.07722779217789841
35,0.8466666666666667,0.8466666666666667,0.8538968253968253,0.8466666666666667,0.8352224442224443,0.8340158957924284,0.0431405970184826,0.043140597018482614,0.07071345286595578,0.043140597018482614,0.05354017193333352,0.04691613787115125
36,0.8566666666666667,0.8566666666666667,0.8653174603174604,0.8566666666666667,0.8456466866466867,0.8447622412331013,0.07031674369909663,0.07031674369909661,0.09153703126450287,0.07031674369909661,0.08242339775714341,0.07583434407995768
37,0.8533333333333333,0.8533333333333333,0.9006043956043956,0.8533333333333333,0.8448953590269379,0.8435909968705249,0.08113774296425388,0.08113774296425388,0.05170793039641397,0.08113774296425388,0.08736242974108024,0.08542710070148628
38,0.8400000000000001,0.8400000000000001,0.8729646464646464,0.8400000000000001,0.8347217096628862,0.8264493527672772,0.05602578771323871,0.05602578771323872,0.0538338299339177,0.05602578771323872,0.055642967550805174,0.062242968259115565
39,0.8366666666666667,0.8366666666666667,0.8648852813852814,0.8366666666666667,0.8290851240263006,0.8227388931869875,0.05939509893735152,0.05939509893735148,0.057982618877091975,0.05939509893735148,0.0636342428625407,0.0654010164771219
40,0.8633333333333333,0.8633333333333333,0.8913333333333334,0.8633333333333333,0.8613373293373293,0.8518173737229173,0.06390096504226939,0.06390096504226943,0.05151739463631075,0.06390096504226943,0.06477851534677057,0.06920324371411402
41,0.8699999999999999,0.8699999999999999,0.8963492063492063,0.8699999999999999,0.8692104562104561,0.8589322375059218,0.05700877125495687,0.05700877125495693,0.050295173072237735,0.05700877125495693,0.05825958932457525,0.06225719876948665
42,0.8366666666666667,0.8366666666666667,0.8459444444444444,0.8366666666666667,0.8244871794871795,0.8228441169498133,0.06497862896539311,0.06497862896539305,0.07282247939105843,0.06497862896539305,0.07557468517338012,0.0693197870798494
43,0.8266666666666665,0.8266666666666668,0.8520952380952382,0.8266666666666668,0.8180535575535576,0.811282099990734,0.03248931448269657,0.032489314482696575,0.03327935680822514,0.032489314482696575,0.03703139312575187,0.03494934361065581
44,0.8533333333333333,0.8533333333333333,0.8671349206349206,0.8533333333333333,0.8486631146631147,0.8394908924464151,0.0670820393249937,0.06708203932499365,0.07005774756910933,0.06708203932499365,0.07157310000498575,0.07419675387012303
45,0.8733333333333334,0.8733333333333334,0.8967619047619048,0.8733333333333334,0.8701269841269841,0.8628520033233567,0.045030853620354326,0.045030853620354375,0.04104108610038627,0.045030853620354375,0.04725101855540847,0.049264248923548665
46,0.8833333333333334,0.8833333333333334,0.9139047619047618,0.8833333333333334,0.8806002886002886,0.8744072342931937,0.0390867979985286,0.03908679799852857,0.027201586421656973,0.03908679799852857,0.04094958985915265,0.04154286640224954
47,0.8566666666666667,0.8566666666666667,0.8665238095238095,0.8566666666666667,0.8481292041292041,0.8449759191889811,0.05725188012439223,0.05725188012439219,0.06721233951267012,0.05725188012439219,0.06518924480632411,0.060974986735615834
