Topics,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC
60,0.9099999999999999,0.9100000000000001,0.9304523809523809,0.9100000000000001,0.9071711621711621,0.9027148394312838
61,0.9,0.9,0.9154285714285715,0.9,0.8984578754578756,0.89078877527649
62,0.9199999999999999,0.9200000000000002,0.9292857142857143,0.9200000000000002,0.918909756909757,0.9125470536191923
63,0.9,0.9,0.912904761904762,0.9,0.9000692640692641,0.8902423342525261
64,0.9099999999999999,0.9099999999999999,0.922,0.9099999999999999,0.9089430569430569,0.9015548979750069
65,0.9066666666666666,0.9066666666666666,0.9211666666666668,0.9066666666666666,0.9058115218115219,0.8980200223663415
66,0.9,0.9,0.9065714285714286,0.9,0.8961875901875901,0.8903882184949922
67,0.9033333333333333,0.9033333333333333,0.9162380952380952,0.9033333333333333,0.8971921411921413,0.8947919978196295
68,0.9133333333333333,0.9133333333333333,0.9210952380952382,0.9133333333333333,0.9113719613719613,0.9049859152344734
69,0.93,0.93,0.9413095238095238,0.93,0.9294438894438896,0.9235813444714788
70,0.9133333333333333,0.9133333333333333,0.925047619047619,0.9133333333333333,0.9101731601731602,0.9056084110818524
71,0.9066666666666666,0.9066666666666668,0.9189761904761905,0.9066666666666668,0.9057555777555777,0.8980308211433256
72,0.9033333333333333,0.9033333333333333,0.9164999999999999,0.9033333333333333,0.8972477522477522,0.8949828204902005
73,0.8966666666666667,0.8966666666666667,0.9090952380952381,0.8966666666666667,0.895022977022977,0.886776108012872
74,0.9,0.9,0.9148968253968255,0.9,0.8983096903096903,0.8907457400099885
75,0.9,0.9,0.9089920634920636,0.9,0.9004815184815185,0.8899087019813919
76,0.9133333333333333,0.9133333333333334,0.9257142857142858,0.9133333333333334,0.9108511488511489,0.9053835123671125
77,0.8966666666666667,0.8966666666666667,0.9056666666666666,0.8966666666666667,0.8947379287379287,0.8866615467506817
78,0.9166666666666666,0.9166666666666666,0.9270714285714285,0.9166666666666666,0.9145021645021645,0.9089812343974346
79,0.9166666666666666,0.9166666666666667,0.9323095238095238,0.9166666666666667,0.916125208125208,0.9092903363968341
80,0.9066666666666666,0.9066666666666666,0.922952380952381,0.9066666666666666,0.9024898434898436,0.8986460216181511
81,0.93,0.93,0.9428253968253969,0.93,0.9311734931734932,0.9235163091463964
82,0.93,0.93,0.9412380952380953,0.93,0.9285887445887446,0.9237616315188717
83,0.9,0.9,0.911095238095238,0.9,0.8977002997002996,0.8905227372860061
84,0.89,0.89,0.9036666666666667,0.89,0.8840929070929071,0.8801264164343289
85,0.9,0.9,0.9145714285714286,0.9,0.8967705627705627,0.890898854353226
86,0.9066666666666666,0.9066666666666666,0.9183809523809524,0.9066666666666666,0.9039047619047619,0.8980237869375853
87,0.9266666666666665,0.9266666666666667,0.9398095238095239,0.9266666666666667,0.9202810522810523,0.9208128888479518
88,0.8933333333333333,0.8933333333333333,0.910888888888889,0.8933333333333333,0.8926200466200467,0.8835936404278671
89,0.9400000000000001,0.9400000000000001,0.946904761904762,0.9400000000000001,0.9362801642801643,0.9348697772480042
90,0.8766666666666667,0.8766666666666667,0.8878333333333334,0.8766666666666667,0.8735249195249196,0.8648778610548622
91,0.9066666666666666,0.9066666666666666,0.9187380952380952,0.9066666666666666,0.9052933732933732,0.8977366287655795
92,0.8933333333333333,0.8933333333333333,0.9061904761904762,0.8933333333333333,0.8906779886779888,0.8833744140319011
93,0.9,0.9,0.9122142857142859,0.9,0.8985074925074926,0.8905025603470677
94,0.9199999999999999,0.9200000000000002,0.930952380952381,0.9200000000000002,0.9186283716283716,0.912712956972326
95,0.9,0.9,0.9121190476190477,0.9,0.8963989343989344,0.8909610754722712
96,0.9133333333333333,0.9133333333333334,0.9094285714285715,0.9133333333333334,0.9051272061272062,0.9063331700118272
97,0.9099999999999999,0.9099999999999999,0.9183809523809524,0.9099999999999999,0.9077546897546898,0.9014363499717095
98,0.8933333333333333,0.8933333333333333,0.9036190476190477,0.8933333333333333,0.8919693639693639,0.8828320801868597
99,0.9266666666666665,0.9266666666666665,0.9343333333333333,0.9266666666666665,0.9245421245421246,0.919820367112217
100,0.9266666666666665,0.9266666666666667,0.9342857142857144,0.9266666666666667,0.9258621378621379,0.9195713343003227
