ExperimentID,Fold,Topics,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC
F1_K050,1,50,0.9,0.9,0.9095238095238095,0.9,0.8977156177156177,0.8902638145194516
F1_K051,1,51,0.9333333333333333,0.9333333333333333,0.9404761904761905,0.9333333333333333,0.9343822843822844,0.9264980149060098
F1_K052,1,52,0.9166666666666666,0.9166666666666667,0.9261904761904762,0.9166666666666667,0.9101398601398601,0.9093742317778231
F1_K053,1,53,0.9166666666666666,0.9166666666666667,0.9261904761904762,0.9166666666666667,0.9143822843822843,0.9088109773219402
F1_K054,1,54,0.95,0.95,0.9547619047619047,0.95,0.9497668997668998,0.94502797520413
F1_K055,1,55,0.9166666666666666,0.9166666666666667,0.9273809523809524,0.9166666666666667,0.9174159174159175,0.9085297422920523
F1_K056,1,56,0.9,0.9,0.9214285714285714,0.9,0.9006759906759909,0.891368360619834
F1_K057,1,57,0.9166666666666666,0.9166666666666666,0.9321428571428572,0.9166666666666666,0.9149450549450551,0.9093742317778231
F1_K058,1,58,0.9333333333333333,0.9333333333333333,0.9464285714285715,0.9333333333333333,0.9321478521478521,0.9276453813083728
F1_K059,1,59,0.9,0.9,0.9154761904761906,0.9,0.896879786879787,0.891091838708226
F1_K060,1,60,0.9666666666666667,0.9666666666666668,0.9714285714285715,0.9666666666666668,0.9664335664335664,0.9635579355022502
F1_K061,1,61,0.9333333333333333,0.9333333333333333,0.9380952380952381,0.9333333333333333,0.9331002331002332,0.9264980149060098
F1_K062,1,62,0.9666666666666667,0.9666666666666668,0.9714285714285715,0.9666666666666668,0.9664335664335665,0.9635579355022502
F1_K063,1,63,0.95,0.9500000000000002,0.9571428571428571,0.9500000000000002,0.9496503496503497,0.9453201464818493
F1_K064,1,64,0.9333333333333333,0.9333333333333333,0.9404761904761905,0.9333333333333333,0.9329836829836828,0.9267844573351464
F1_K065,1,65,0.9333333333333333,0.9333333333333333,0.9464285714285715,0.9333333333333333,0.9339660339660341,0.9273581401244287
F1_K066,1,66,0.9,0.9,0.9154761904761906,0.9,0.8944555444555444,0.891368360619834
F1_K067,1,67,0.9166666666666666,0.9166666666666667,0.925,0.9166666666666667,0.9175324675324676,0.9082487681884435
F1_K068,1,68,0.9333333333333333,0.9333333333333333,0.9464285714285715,0.9333333333333333,0.9321478521478521,0.9276453813083728
F1_K069,1,69,0.9333333333333333,0.9333333333333333,0.9428571428571428,0.9333333333333333,0.9324475524475524,0.927071165604135
F1_K070,1,70,0.9333333333333333,0.9333333333333333,0.9404761904761905,0.9333333333333333,0.9329836829836831,0.9267844573351464
F1_K071,1,71,0.95,0.9500000000000002,0.9571428571428571,0.9500000000000002,0.9496503496503497,0.9453201464818493
F1_K072,1,72,0.9166666666666666,0.9166666666666666,0.9261904761904762,0.9166666666666666,0.9143822843822844,0.9088109773219402
F1_K073,1,73,0.9166666666666666,0.9166666666666667,0.9297619047619048,0.9166666666666667,0.9172993672993673,0.9088109773219402
F1_K074,1,74,0.9666666666666667,0.9666666666666668,0.9714285714285715,0.9666666666666668,0.9664335664335665,0.9635579355022502
F1_K075,1,75,0.9833333333333333,0.9833333333333334,0.9857142857142858,0.9833333333333334,0.9832167832167832,0.9817845481805314
F1_K076,1,76,0.9333333333333333,0.9333333333333333,0.9380952380952381,0.9333333333333333,0.9312820512820513,0.9267844573351464
F1_K077,1,77,0.9333333333333333,0.9333333333333333,0.9428571428571428,0.9333333333333333,0.9328671328671329,0.927071165604135
F1_K078,1,78,0.9,0.9,0.9047619047619048,0.9,0.8936630036630037,0.8908155739864388
F1_K079,1,79,0.95,0.9500000000000002,0.9607142857142857,0.9500000000000002,0.9507492507492508,0.9456125889162177
F1_K080,1,80,0.95,0.95,0.9547619047619047,0.95,0.9497668997668998,0.94502797520413
F1_K081,1,81,0.9833333333333333,0.9833333333333334,0.9857142857142858,0.9833333333333334,0.9832167832167833,0.9817845481805314
F1_K082,1,82,0.9333333333333333,0.9333333333333333,0.9428571428571428,0.9333333333333333,0.9268065268065268,0.9279328895692072
F1_K083,1,83,0.9333333333333333,0.9333333333333333,0.9428571428571428,0.9333333333333333,0.931048951048951,0.9273581401244287
F1_K084,1,84,0.9333333333333333,0.9333333333333333,0.9371428571428572,0.9333333333333333,0.9314685314685315,0.9267844573351464
F1_K085,1,85,0.9666666666666667,0.9666666666666668,0.9714285714285715,0.9666666666666668,0.9664335664335665,0.9635579355022502
F1_K086,1,86,0.9333333333333333,0.9333333333333333,0.9464285714285715,0.9333333333333333,0.932147852147852,0.9276453813083728
F1_K087,1,87,0.9333333333333333,0.9333333333333333,0.9464285714285715,0.9333333333333333,0.9321478521478521,0.9276453813083728
F1_K088,1,88,0.9,0.9,0.9157142857142858,0.9,0.8992773892773893,0.891091838708226
F1_K089,1,89,0.9666666666666667,0.9666666666666666,0.9714285714285715,0.9666666666666666,0.9646153846153845,0.9638558356285521
F1_K090,1,90,0.85,0.85,0.8613095238095237,0.85,0.8385103785103786,0.8369576644042286
F1_K091,1,91,0.9166666666666666,0.9166666666666667,0.9238095238095239,0.9166666666666667,0.9144988344988345,0.9085297422920523
F1_K092,1,92,0.9333333333333333,0.9333333333333333,0.9428571428571428,0.9333333333333333,0.931048951048951,0.9273581401244287
F1_K093,1,93,0.8833333333333333,0.8833333333333332,0.9023809523809524,0.8833333333333332,0.8813120213120215,0.8727981864402542
F1_K094,1,94,0.9333333333333333,0.9333333333333333,0.9428571428571428,0.9333333333333333,0.9324475524475524,0.927071165604135
F1_K095,1,95,0.9,0.9,0.9011904761904763,0.9,0.8957808857808857,0.8899883189799697
F1_K096,1,96,0.9666666666666667,0.9666666666666668,0.9714285714285715,0.9666666666666668,0.9664335664335665,0.9635579355022502
F1_K097,1,97,0.9166666666666666,0.9166666666666667,0.9285714285714286,0.9166666666666667,0.9156643356643356,0.9088109773219402
F1_K098,1,98,0.9,0.9,0.9119047619047619,0.9,0.8989976689976691,0.8902638145194516
F1_K099,1,99,0.95,0.95,0.9571428571428573,0.95,0.9496503496503497,0.9453201464818493
F1_K100,1,100,0.9333333333333333,0.9333333333333333,0.9404761904761905,0.9333333333333333,0.9311655011655011,0.927071165604135
F2_K002,2,2,0.31666666666666665,0.3166666666666667,0.17977272727272728,0.3166666666666667,0.21090909090909088,0.2615953645588266
F2_K003,2,3,0.4666666666666667,0.4666666666666667,0.43505494505494513,0.4666666666666667,0.4232124892651208,0.4170438137881258
F2_K004,2,4,0.55,0.5499999999999999,0.6045238095238095,0.5499999999999999,0.5481018981018981,0.5058095841708022
F2_K005,2,5,0.6,0.6,0.6549358974358974,0.6,0.5996088706615023,0.562543950463012
F2_K006,2,6,0.65,0.65,0.7452380952380953,0.65,0.6351448551448551,0.6227523687795277
F2_K007,2,7,0.6833333333333333,0.6833333333333333,0.7839285714285713,0.6833333333333333,0.6623076923076924,0.6617687949260964
F2_K008,2,8,0.6833333333333333,0.6833333333333333,0.6998015873015874,0.6833333333333333,0.6750727050727051,0.6515759270747565
F2_K009,2,9,0.6833333333333333,0.6833333333333333,0.6793253968253968,0.6833333333333333,0.6696958596958598,0.6509670723144
F2_K010,2,10,0.65,0.65,0.6607142857142858,0.65,0.6403163503163504,0.6147266217497174
F2_K011,2,11,0.6666666666666666,0.6666666666666666,0.7125,0.6666666666666666,0.6752680652680654,0.6319746270560833
F2_K012,2,12,0.7666666666666667,0.7666666666666666,0.8028571428571428,0.7666666666666666,0.7672960372960373,0.7446582023711503
F2_K013,2,13,0.75,0.75,0.7833333333333334,0.75,0.7605361305361306,0.7233393492970545
F2_K014,2,14,0.7833333333333333,0.7833333333333334,0.8027777777777778,0.7833333333333334,0.7799567099567101,0.7620870502735122
F2_K015,2,15,0.7666666666666667,0.7666666666666666,0.7658730158730159,0.7666666666666666,0.7597668997668998,0.742806967183195
F2_K016,2,16,0.7333333333333333,0.7333333333333334,0.7470238095238095,0.7333333333333334,0.7342790542790543,0.7050104897943633
F2_K017,2,17,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8147186147186147,0.7970346333082259
F2_K018,2,18,0.9333333333333333,0.9333333333333333,0.9404761904761905,0.9333333333333333,0.9343822843822844,0.9264980149060098
F2_K019,2,19,0.8166666666666667,0.8166666666666667,0.8385714285714286,0.8166666666666667,0.8125174825174826,0.7992620283356348
F2_K020,2,20,0.9,0.9,0.9023809523809524,0.9,0.8955977355977355,0.8902638145194516
F2_K021,2,21,0.8833333333333333,0.8833333333333334,0.8835714285714287,0.8833333333333334,0.8774825174825175,0.871716651716963
F2_K022,2,22,0.8833333333333333,0.8833333333333332,0.9011904761904761,0.8833333333333332,0.8828937728937729,0.8722569161950547
F2_K023,2,23,0.9666666666666667,0.9666666666666668,0.9690476190476192,0.9666666666666668,0.9665501165501167,0.9632603114224082
