Topics,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC,AccuracyStd,BalancedAccuracyStd,PrecisionStd,RecallStd,F1Std,MCCStd
35,0.7633333333333333,0.7633333333333333,0.7889826839826839,0.7633333333333333,0.7543803777921425,0.7413742739545641,0.0819891591749923,0.08198915917499235,0.059805269227047056,0.08198915917499235,0.08783605251616913,0.08834713870641642
36,0.7733333333333333,0.7733333333333333,0.8154126984126984,0.7733333333333333,0.7687547452547452,0.7528831973853001,0.10041580220928048,0.10041580220928048,0.08723836816343257,0.10041580220928048,0.101762760004575,0.11052184014138754
37,0.7633333333333333,0.7633333333333333,0.8036089466089467,0.7633333333333333,0.7592498808381162,0.7417840614585327,0.07940752833047737,0.07940752833047726,0.05701591795443798,0.07940752833047726,0.0825044017507972,0.08547673438637854
38,0.7466666666666667,0.7466666666666667,0.7599805194805195,0.7466666666666667,0.7319206773618538,0.7224040001096946,0.04772607021092118,0.04772607021092118,0.050194369072325655,0.04772607021092118,0.05290470358204585,0.05163041138066339
39,0.76,0.76,0.7572380952380953,0.76,0.7480675990675991,0.7362734629717365,0.1272573944588072,0.1272573944588072,0.12933005904404282,0.1272573944588072,0.13344740045216744,0.13987738880954517
40,0.7633333333333333,0.7633333333333333,0.7747344877344877,0.7633333333333333,0.7424870554282319,0.7428804021032877,0.021730674684008827,0.021730674684008827,0.05187161876694267,0.021730674684008827,0.03243538029580936,0.021897018143538158
41,0.7833333333333333,0.7833333333333333,0.8070901875901877,0.7833333333333333,0.7797135740076917,0.7629022899356165,0.07728015412913086,0.07728015412913083,0.07126382003061335,0.07728015412913083,0.07853000646833068,0.08466784479335258
42,0.7533333333333333,0.7533333333333333,0.7888766233766233,0.7533333333333333,0.7490950977127449,0.7306001485523387,0.04314059701848267,0.043140597018482635,0.039714037381412874,0.043140597018482635,0.04437340466009305,0.04669711082380883
43,0.77,0.7699999999999999,0.793436507936508,0.7699999999999999,0.7622010767010766,0.7481856291558577,0.05939509893735155,0.059395098937351565,0.0641799271668828,0.059395098937351565,0.053517944631647954,0.06686562854853245
44,0.7033333333333334,0.7033333333333334,0.7326843711843712,0.7033333333333334,0.7016928159559739,0.6743811716224224,0.08027729719194865,0.08027729719194861,0.06464319362793913,0.08027729719194861,0.07637637583897348,0.08800276191353013
45,0.7633333333333333,0.7633333333333333,0.7805873015873016,0.7633333333333333,0.7545725385725387,0.7407932324262758,0.07207249436813216,0.07207249436813219,0.07913125973546582,0.07207249436813219,0.0746028393845326,0.07982765895634168
46,0.76,0.76,0.79161544011544,0.76,0.7534882209293975,0.7381713206409379,0.07129749878735817,0.07129749878735811,0.09029146753675503,0.07129749878735811,0.07775684285209236,0.07907672823943535
47,0.7833333333333334,0.7833333333333334,0.798504329004329,0.7833333333333334,0.7783431992843758,0.762377480898528,0.08079466429027216,0.08079466429027216,0.08195675205567433,0.08079466429027216,0.08350629496411559,0.08902800892232049
48,0.8,0.8,0.8313492063492063,0.8,0.7958206238206238,0.7816903557782927,0.08333333333333331,0.0833333333333334,0.06740356506350643,0.0833333333333334,0.08358484295373157,0.0914126977756666
49,0.7366666666666667,0.7366666666666667,0.7538614718614719,0.7366666666666667,0.7279689069100834,0.7116087865091526,0.0720724943681322,0.0720724943681322,0.07757677912467076,0.0720724943681322,0.07719753629395427,0.0796746060727094
50,0.76,0.76,0.7946147186147187,0.76,0.753778025895673,0.7372158345490258,0.04944132324730446,0.04944132324730448,0.03967953930674742,0.04944132324730448,0.053850502404842786,0.053688381460555414
51,0.7633333333333333,0.7633333333333333,0.758452380952381,0.7633333333333333,0.7512086247086247,0.7396619515051436,0.0462481230850387,0.04624812308503874,0.05304743737679414,0.04624812308503874,0.05210394254312749,0.050158209366491416
52,0.7733333333333333,0.7733333333333333,0.7990670995670996,0.7733333333333333,0.7648009474185945,0.7528057399521846,0.109671225842414,0.10967122584241401,0.11032471418124061,0.10967122584241401,0.11149023853495751,0.12092232271574634
53,0.7733333333333333,0.7733333333333332,0.8077857142857143,0.7733333333333332,0.7687972027972028,0.75343762781864,0.059628479399994425,0.059628479399994376,0.029299696623382,0.059628479399994376,0.05527516031350343,0.06420268978225387
54,0.74,0.74,0.76254329004329,0.74,0.7333474009650481,0.715481264307483,0.04801620096962646,0.048016200969626464,0.03679892085477732,0.048016200969626464,0.04429311925160346,0.05180378777843608
55,0.6799999999999999,0.6799999999999999,0.7098290043290044,0.6799999999999999,0.671208206825854,0.6491231040089133,0.09383792173506168,0.09383792173506171,0.09867622882610733,0.09383792173506171,0.09479300988458528,0.10434351071761463
56,0.72,0.72,0.7393809523809524,0.72,0.7023372183372183,0.6932662481105961,0.04472135954999587,0.04472135954999582,0.05382927804976619,0.04472135954999582,0.058894950794399804,0.04824408573653798
57,0.7233333333333334,0.7233333333333334,0.726448051948052,0.7233333333333334,0.7084677805854277,0.6963695036775475,0.08547254269972057,0.08547254269972057,0.09723464247206266,0.08547254269972057,0.09816031514240217,0.09290440807722992
